file_name,file_datetime,channel,segments,events,events_per_minute,mean_events_per_segment,max_heatmap,mean_heatmap
Broadband_Data_2026.03.25_17.30.00.bin,2026-03-25T17:30:00,we,30,73,73.0,2.433333333333333,0.9980218410491943,0.05106703167160352
Broadband_Data_2026.03.25_17.31.00.bin,2026-03-25T17:31:00,ns,30,151,151.0,5.033333333333333,0.9988440275192261,0.07015964426100255
Broadband_Data_2026.03.25_17.31.00.bin,2026-03-25T17:31:00,we,30,85,85.0,2.8333333333333335,0.9977121353149414,0.05198833594719569
Broadband_Data_2026.03.25_17.32.00.bin,2026-03-25T17:32:00,ns,30,133,133.0,4.433333333333334,0.9990240335464478,0.06604180547098319
Broadband_Data_2026.03.25_17.32.00.bin,2026-03-25T17:32:00,we,30,74,74.0,2.466666666666667,0.9979738593101501,0.04715184606611729
Broadband_Data_2026.03.25_17.33.00.bin,2026-03-25T17:33:00,ns,30,127,127.0,4.233333333333333,0.9983966946601868,0.06586440155903499
Broadband_Data_2026.03.25_17.33.00.bin,2026-03-25T17:33:00,we,30,70,70.0,2.3333333333333335,0.9979825019836426,0.046408697962760925
Broadband_Data_2026.03.25_17.34.00.bin,2026-03-25T17:34:00,ns,30,142,142.0,4.733333333333333,0.9991099238395691,0.07096853305896124
Broadband_Data_2026.03.25_17.34.00.bin,2026-03-25T17:34:00,we,30,64,64.0,2.1333333333333333,0.9986104965209961,0.04459681125978629
Broadband_Data_2026.03.25_17.35.00.bin,2026-03-25T17:35:00,ns,30,141,141.0,4.7,0.9983199238777161,0.06895391643047333
Broadband_Data_2026.03.25_17.35.00.bin,2026-03-25T17:35:00,we,30,69,69.0,2.3,0.9980694651603699,0.044074823458989464
Broadband_Data_2026.03.25_17.36.00.bin,2026-03-25T17:36:00,ns,30,151,151.0,5.033333333333333,0.9988435506820679,0.07107671238481998
Broadband_Data_2026.03.25_17.36.00.bin,2026-03-25T17:36:00,we,30,70,70.0,2.3333333333333335,0.9981424808502197,0.04526306986808777
Broadband_Data_2026.03.25_17.37.00.bin,2026-03-25T17:37:00,ns,30,163,163.0,5.433333333333334,0.998885452747345,0.07846509839097658
Broadband_Data_2026.03.25_17.37.00.bin,2026-03-25T17:37:00,we,30,71,71.0,2.3666666666666667,0.9978863596916199,0.05147930507858594
Broadband_Data_2026.03.25_17.38.00.bin,2026-03-25T17:38:00,ns,30,149,149.0,4.966666666666667,0.9991660118103027,0.0726355484376351
Broadband_Data_2026.03.25_17.38.00.bin,2026-03-25T17:38:00,we,30,63,63.0,2.1,0.9980273842811584,0.048868499944607416
Broadband_Data_2026.03.25_17.39.00.bin,2026-03-25T17:39:00,ns,30,153,153.0,5.1,0.9990096092224121,0.07552875181039174
Broadband_Data_2026.03.25_17.39.00.bin,2026-03-25T17:39:00,we,30,73,73.0,2.433333333333333,0.9979526996612549,0.049330023676157
Broadband_Data_2026.03.25_17.40.00.bin,2026-03-25T17:40:00,ns,30,155,155.0,5.166666666666667,0.9974520802497864,0.0721645557632049
Broadband_Data_2026.03.25_17.40.00.bin,2026-03-25T17:40:00,we,30,75,75.0,2.5,0.9978047013282776,0.051696654533346494
Broadband_Data_2026.03.25_17.41.00.bin,2026-03-25T17:41:00,ns,30,157,157.0,5.233333333333333,0.9990148544311523,0.07527994985381763
Broadband_Data_2026.03.25_17.41.00.bin,2026-03-25T17:41:00,we,30,65,65.0,2.1666666666666665,0.9981533885002136,0.0466190913071235
Broadband_Data_2026.03.25_17.42.00.bin,2026-03-25T17:42:00,ns,30,148,148.0,4.933333333333334,0.9990530610084534,0.06702087024847667
Broadband_Data_2026.03.25_17.42.00.bin,2026-03-25T17:42:00,we,30,60,60.0,2.0,0.998012900352478,0.04292670873304208
Broadband_Data_2026.03.25_17.43.00.bin,2026-03-25T17:43:00,ns,30,162,162.0,5.4,0.9980237483978271,0.0731062193090717
Broadband_Data_2026.03.25_17.43.00.bin,2026-03-25T17:43:00,we,30,78,78.0,2.6,0.9981039762496948,0.048499205708503725
Broadband_Data_2026.03.25_17.44.00.bin,2026-03-25T17:44:00,ns,30,134,134.0,4.466666666666667,0.9988923668861389,0.06659233619769414
Broadband_Data_2026.03.25_17.44.00.bin,2026-03-25T17:44:00,we,30,76,76.0,2.533333333333333,0.9983416795730591,0.047322974726557734
Broadband_Data_2026.03.25_17.45.00.bin,2026-03-25T17:45:00,ns,30,147,147.0,4.9,0.9989495873451233,0.07162060365080833
Broadband_Data_2026.03.25_17.45.00.bin,2026-03-25T17:45:00,we,30,73,73.0,2.433333333333333,0.9979902505874634,0.04971516169607639
Broadband_Data_2026.03.25_17.46.00.bin,2026-03-25T17:46:00,ns,30,177,177.0,5.9,0.9985357522964478,0.08253057822585105
