channel,segment_index,segment_start_s,segment_end_s,predicted_event_count,max_heatmap,predicted_event_times_inside_s_json
we,12,24.0,26.0,17,0.9963940978050232,"[0.03400000184774399, 0.30399999022483826, 0.335999995470047, 0.3720000088214874, 0.42399999499320984, 0.49000000953674316, 0.6460000276565552, 0.765999972820282, 0.8840000033378601, 1.0, 1.184000015258789, 1.2200000286102295, 1.3200000524520874, 1.4359999895095825, 1.5499999523162842, 1.5839999914169312, 1.6740000247955322]"
we,13,26.0,28.0,11,0.994358241558075,"[0.17000000178813934, 0.8220000267028809, 0.9459999799728394, 1.0, 1.0420000553131104, 1.1019999980926514, 1.3619999885559082, 1.565999984741211, 1.6440000534057617, 1.6759999990463257, 1.9079999923706055]"
we,14,28.0,30.0,12,0.9966505169868469,"[0.4480000138282776, 0.578000009059906, 0.6079999804496765, 0.6499999761581421, 0.6899999976158142, 0.7720000147819519, 0.8220000267028809, 0.9179999828338623, 1.0, 1.1260000467300415, 1.6779999732971191, 1.9119999408721924]"
we,15,30.0,32.0,9,0.9968133568763733,"[0.03999999910593033, 0.30000001192092896, 0.3499999940395355, 0.7400000095367432, 1.0, 1.25, 1.6019999980926514, 1.7599999904632568, 1.9600000381469727]"
we,16,32.0,34.0,15,0.9960669875144958,"[0.10999999940395355, 0.39399999380111694, 0.5479999780654907, 0.5799999833106995, 0.6179999709129333, 0.8119999766349792, 0.9179999828338623, 0.9599999785423279, 1.0, 1.1640000343322754, 1.3839999437332153, 1.4839999675750732, 1.6380000114440918, 1.6979999542236328, 1.815999984741211]"
we,17,34.0,36.0,7,0.9966391324996948,"[0.014000000432133675, 0.12800000607967377, 0.44200000166893005, 0.8259999752044678, 0.8659999966621399, 1.0, 1.8660000562667847]"
we,18,36.0,38.0,11,0.9966422319412231,"[0.11599999666213989, 0.2619999945163727, 0.5059999823570251, 0.7519999742507935, 0.8199999928474426, 1.0, 1.034000039100647, 1.2380000352859497, 1.2999999523162842, 1.8040000200271606, 1.9220000505447388]"
we,19,38.0,40.0,10,0.9966977834701538,"[0.15000000596046448, 0.31200000643730164, 0.414000004529953, 0.8299999833106995, 0.9660000205039978, 1.0, 1.0579999685287476, 1.1039999723434448, 1.5219999551773071, 1.7719999551773071]"
we,20,40.0,42.0,11,0.9964752793312073,"[0.12999999523162842, 0.6399999856948853, 0.9340000152587891, 1.0, 1.0399999618530273, 1.121999979019165, 1.1579999923706055, 1.246000051498413, 1.2960000038146973, 1.409999966621399, 1.5199999809265137]"
we,21,42.0,44.0,12,0.9957560896873474,"[0.03799999877810478, 0.1720000058412552, 0.21799999475479126, 0.44999998807907104, 0.7639999985694885, 0.9279999732971191, 1.0, 1.2879999876022339, 1.3559999465942383, 1.4620000123977661, 1.531999945640564, 1.9739999771118164]"
we,22,44.0,46.0,12,0.996480405330658,"[0.1340000033378601, 0.20600000023841858, 0.23800000548362732, 0.8360000252723694, 0.878000020980835, 0.9599999785423279, 1.0, 1.0420000553131104, 1.1679999828338623, 1.5180000066757202, 1.6579999923706055, 1.8359999656677246]"
we,23,46.0,48.0,12,0.9956387877464294,"[0.057999998331069946, 0.25, 0.46399998664855957, 0.6359999775886536, 0.8220000267028809, 0.8759999871253967, 0.9440000057220459, 0.9980000257492065, 1.055999994277954, 1.2039999961853027, 1.6260000467300415, 1.6720000505447388]"
we,24,48.0,50.0,9,0.9964249730110168,"[0.29600000381469727, 0.5120000243186951, 0.5519999861717224, 0.7620000243186951, 0.9120000004768372, 0.9660000205039978, 1.0, 1.218000054359436, 1.6519999504089355]"
we,25,50.0,52.0,7,0.9964613318443298,"[0.17800000309944153, 0.2919999957084656, 0.4059999883174896, 1.0, 1.0640000104904175, 1.1720000505447388, 1.9420000314712524]"
we,26,52.0,54.0,12,0.996408998966217,"[0.14800000190734863, 0.4259999990463257, 0.7139999866485596, 0.9559999704360962, 1.0, 1.100000023841858, 1.4140000343322754, 1.5440000295639038, 1.600000023841858, 1.7000000476837158, 1.812000036239624, 1.9600000381469727]"
